id,title,tipo,icon,anclajes,lastUpdated,plazas,geometry
"559,Calle mediodia 25,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:48,12,""[-0.868062403649017,41.656749111674856]"""
"789,Residencia Pignatelli,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,7,2025-04-22T23:05:48,8,""[-0.9223101753009392,41.64259999198459]"""
"340,Colegio Cristo Rey Escolapios,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,10,2025-04-22T23:05:48,11,""[-0.8700924502289481,41.68719667258403]"""
"778,Hospital Royo Villanova,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,7,2025-04-22T23:05:48,14,""[-0.8609978779688847,41.69288758431977]"""
"666,Pabellón Príncipe Felipe,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,20,2025-04-22T23:05:48,40,""[-0.8655252807332,41.635766794977236]"""
"1230,Institutode Patología,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,15,2025-04-22T23:05:48,15,""[-0.8615617220067208,41.63489351496709]"""
"782,Plaza Emperador,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:48,10,""[-0.8993259318285348,41.63805609926025]"""
"365,Expo Torre Del Agua,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:48,12,""[-0.9103156081456276,41.67002361972312]"""
"922,Paseo Longares,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,3,2025-04-22T23:05:48,6,""[-0.8665152871038168,41.66066535032281]"""
"915,Parque del Agua,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,2,2025-04-22T23:05:48,8,""[-0.9113310076666742,41.668226063065575]"""
"1703,Oficina Correos Actur,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:48,10,""[-0.8937629434176931,41.67283476815237]"""
"1719,Pedro Saputo,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:48,12,""[-0.8953427427643955,41.676631560776634]"""
"767,Centro Cívico,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:48,10,""[-0.9007443927976391,41.6941654830191]"""
"1647,Calle Alicante,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:48,10,""[-0.8888189400010572,41.63174555170646]"""
"933,Via Hispanidad-Parque Sedetania,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:48,6,""[-0.9202099227681398,41.654511836679504]"""
